address,latitude,longitude,status,original_index
21XX SPENCER RD DENTON TX ,33.1959056,-97.0987982,VALID,80.0
DALLAS DR DENTON TX ,33.1993677,-97.1242105,VALID,81.0
9XX SIERRA DR DENTON TX ,33.2479414,-97.1193666,VALID,82.0
S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,83.0
4XX N BELL AVE DENTON TX ,33.2310843,-97.1272288,VALID,84.0
65XX W SHADY SHORES RD DENTON TX ,33.1640049,-97.0722153,VALID,85.0
47XX SHAGBARK DR DENTON TX ,33.1708229,-97.1663811,VALID,86.0
4XX N WOOD ST DENTON TX ,33.2179707,-97.1190058,VALID,87.0
8XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,88.0
89XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,89.0
28XX NOTTINGHAM DR DENTON TX ,33.2389117,-97.1066916,VALID,90.0
12XX MCDONALD DR DENTON TX ,33.2043802,-97.1176706,VALID,91.0
17XX GREENWOOD DR DENTON TX ,33.2353581,-97.1173887,VALID,92.0
25XX W HICKORY ST DENTON TX ,33.2146565,-97.1475676,VALID,93.0
10XX DALLAS DR DENTON TX ,33.1993677,-97.1242105,VALID,94.0
1XX S WOODROW LN DENTON TX ,33.2072363,-97.1120564,VALID,95.0
17XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,96.0
39XX BLACK BUTTE DR DENTON TX ,33.1522577,-97.0924374,VALID,97.0
N NORTH TEXAS BLVD DENTON TX ,33.2064112,-97.1534274,VALID,98.0
10XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,99.0
38XX WATERFORD WAY DENTON TX ,33.1654878,-97.0883441,VALID,100.0
58XX NEW BALLINGER DR DENTON TX ,33.1404972,-97.1914758,VALID,101.0
BRINKER RD DENTON TX ,33.1883701,-97.095871,VALID,102.0
S BELL AVE DENTON TX ,33.2106727,-97.1303383,VALID,103.0
23XX W PRAIRIE ST DENTON TX ,33.2108511,-97.1550899,VALID,104.0
78XX MIRROR ROCK LN DENTON TX ,33.1440132,-97.1166313,VALID,105.0
9XX MCCORMICK ST DENTON TX ,33.1967075,-97.1474472,VALID,106.0
39XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,107.0
22XX N CARROLL BLVD DENTON TX ,33.2279879,-97.1368644,VALID,108.0
77XX ALDERS GATE LN DENTON TX ,33.1707863,-97.0588861,VALID,109.0
17XX PANHANDLE ST DENTON TX ,33.2216193,-97.1526645,VALID,110.0
15XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,111.0
1XX PRECISION DR DENTON TX ,33.2092495,-97.1734151,VALID,112.0
58XX GREENMEADOW DR DENTON TX ,33.1366182,-97.1922212,VALID,113.0
3XX DALLAS DR DENTON TX ,33.1993677,-97.1242105,VALID,114.0
7XX W COLLINS ST DENTON TX ,33.2041237,-97.1393456,VALID,115.0
94XX TOLEDO BEND DR DENTON TX ,33.1375329,-97.1864983,VALID,116.0
41XX SONOMA DR DENTON TX ,33.1707058,-97.173622,VALID,117.0
33XX N MASCH BRANCH RD DENTON TX ,33.2304372,-97.1972384,VALID,118.0
24XX CHARLOTTE ST DENTON TX ,33.2128177,-97.1597782,VALID,119.0
32XX TAMARACK LN DENTON TX ,33.1692002,-97.1625201,VALID,120.0
4XX CAMPBELL LN DENTON TX ,33.2181214,-97.1125522,VALID,121.0
18XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,122.0
32XX WAGON TRAIL DR DENTON TX ,33.2105967,-97.0983387,VALID,123.0
31XX BANDERA ST DENTON TX ,33.2313113,-97.1757808,VALID,124.0
19XX BURNING TREE LN DENTON TX ,33.2427004,-97.1039571,VALID,125.0
5XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,126.0
2XX W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID,127.0
3XX S WOODROW LN DENTON TX ,33.2072363,-97.1120564,VALID,128.0
2XX S MAYHILL RD DENTON TX ,33.1922091,-97.0856294,VALID,129.0
7XX S ELM ST DENTON TX ,33.2101561,-97.1337726,VALID,130.0
20XX BURNING TREE LN DENTON TX ,33.2427004,-97.1039571,VALID,131.0
23XX SAN JACINTO BLVD DENTON TX ,33.1923138,-97.1093771,VALID,132.0
23XX NORTHWAY DENTON TX ,33.2381598,-97.1645905,VALID,133.0
1XX N I 35 E DENTON TX ,33.2036084,-97.1504619,VALID,134.0
32XX BROOKE ST DENTON TX ,33.2470824,-97.1365697,VALID,135.0
11XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,136.0
34XX VALLEY VIEW RD DENTON TX ,33.25182,-97.1237732,VALID,137.0
14XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,138.0
W HIGHLAND ST DENTON TX ,33.2093173,-97.1443753,VALID,139.0
7XX JACKSON ST DENTON TX ,33.2074411,-97.1257632,VALID,140.0
12XX W HICKORY ST DENTON TX ,33.2146565,-97.1475676,VALID,141.0
36XX SALON CT DENTON TX ,33.1543277,-97.0965248,VALID,142.0
16XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,143.0
37XX N ELM ST DENTON TX ,33.2483035,-97.1480169,VALID,144.0
28XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,145.0
39XX N ELM ST DENTON TX ,33.2483035,-97.1480169,VALID,146.0
4XX S CARROLL BLVD DENTON TX ,33.2093664,-97.137149,VALID,147.0
30XX BOB-O-LINK LN DENTON TX ,33.2172619,-97.0957283,VALID,148.0
1XX N BONNIE BRAE ST DENTON TX ,33.2460697,-97.1605525,VALID,149.0
28XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,150.0
35XX POCKRUS PAGE RD DENTON TX ,33.1709825,-97.077112,VALID,151.0
17XX N CARROLL BLVD DENTON TX ,33.2279879,-97.1368644,VALID,152.0
22XX GEORGETOWN DR DENTON TX ,33.2344678,-97.1513962,VALID,153.0
S WELCH ST DENTON TX ,33.2093173,-97.1443753,VALID,154.0
10XX WILSON ST DENTON TX ,33.2081469,-97.1208293,VALID,155.0
17XX CARLTON ST DENTON TX ,33.2248502,-97.1517201,VALID,156.0
9XX CIRCLE VIEW LN DENTON TX ,33.1547049,-97.1256458,VALID,157.0
S LOCUST ST DENTON TX ,33.2025721,-97.1335834,VALID,158.0
W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID,159.0
32XX CLYDESDALE DR DENTON TX ,33.1576232,-97.0979517,VALID,160.0
1XX W HICKORY ST DENTON TX ,33.2146565,-97.1475676,VALID,161.0
16XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,162.0
15XX CARRIGAN LN DENTON TX ,33.2516161,-97.1440095,VALID,163.0
5XX E WINDSOR DR DENTON TX ,33.2439517,-97.1120302,VALID,164.0
11XX N LOCUST ST DENTON TX ,33.256469,-97.1316417,VALID,165.0
1XX HANN ST DENTON TX ,33.221583,-97.1311174,VALID,166.0
1XX SAWYER AVE DENTON TX ,33.2235419,-97.1311323,VALID,167.0
12XX E HICKORY ST DENTON TX ,33.2144196,-97.1253362,VALID,168.0
25XX SCRIPTURE ST DENTON TX ,33.2188813,-97.1575335,VALID,169.0
21XX STELLA ST DENTON TX ,33.2137895,-97.1586493,VALID,170.0
18XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,171.0
32XX FALLMEADOW ST DENTON TX ,33.24879,-97.14066,VALID,172.0
6XX GARDENVIEW CIR DENTON TX ,33.2477881,-97.1414828,VALID,173.0
S FM 2499 DENTON TX ,33.1616795,-97.0928992,VALID,174.0
33XX FALLMEADOW ST DENTON TX ,33.24879,-97.14066,VALID,175.0
11XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,176.0
N I 35 E DENTON TX ,33.2036084,-97.1504619,VALID,177.0
8XX W EAGLE DR DENTON TX ,33.206632,-97.14474,VALID,178.0
1XX MASSEY ST DENTON TX ,33.1877312,-97.1406436,VALID,179.0
34XX JOYCE LN DENTON TX ,33.2460081,-97.1387378,VALID,180.0
3XX N RUDDELL ST DENTON TX ,33.222033,-97.1178217,VALID,181.0
23XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,182.0
29XX BRIGHTON CIR DENTON TX ,33.1717892,-97.0935499,VALID,183.0
33XX E UNIVERSITY DR DENTON TX ,33.2345383,-97.0783176,VALID,184.0
12XX W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID,185.0
6XX CHAMBERS ST DENTON TX ,33.2031664,-97.127504,VALID,186.0
24XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,187.0
20XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,188.0
11XX E UNIVERSITY DR DENTON TX ,33.2345383,-97.0783176,VALID,189.0
6XX CAMPBELL LN DENTON TX ,33.2181214,-97.1125522,VALID,190.0
13XX N MAYHILL RD DENTON TX ,33.2218988,-97.0831971,VALID,191.0
36XX CAMINO REAL TRL DENTON TX ,33.1747817,-97.0767076,VALID,192.0
42XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,193.0
33XX SWISHER RD DENTON TX ,33.1298193,-97.0354104,VALID,194.0
7XX ALLISE CIR DENTON TX ,33.223191,-97.0993724,VALID,195.0
12XX E UNIVERSITY DR DENTON TX ,33.2345383,-97.0783176,VALID,196.0
27XX N BELL AVE DENTON TX ,33.2310843,-97.1272288,VALID,197.0
13XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,198.0
35XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,199.0
ROSELAWN DR DENTON TX ,33.1846168,-97.1479993,VALID,200.0
84XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,201.0
6XX N I 35 E DENTON TX ,33.2036084,-97.1504619,VALID,202.0
6XX NORTHRIDGE ST DENTON TX ,33.2410372,-97.1394108,VALID,203.0
32XX UNICORN LAKE BLVD DENTON TX ,33.1716801,-97.0957739,VALID,204.0
50XX MILLS RD DENTON TX ,33.2152229,-97.0713378,VALID,205.0
28XX STOCKTON ST DENTON TX ,33.2301855,-97.1018769,VALID,206.0
18XX N RUDDELL ST DENTON TX ,33.222033,-97.1178217,VALID,207.0
3XX STOCKADE LN DENTON TX ,33.2105981,-97.098756,VALID,208.0
35XX SEASIDE DR DENTON TX ,33.1752685,-97.0780171,VALID,209.0
55XX SOLEDAD DR DENTON TX ,33.1720626,-97.0768019,VALID,210.0
12XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,211.0
32XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,212.0
45XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,213.0
9XX KINGS ROW DENTON TX ,33.2490386,-97.1062357,VALID,214.0
8XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,215.0
4XX N RUDDELL ST DENTON TX ,33.222033,-97.1178217,VALID,216.0
5XX LONDONDERRY LN DENTON TX ,33.1899152,-97.1257002,VALID,217.0
2XX S BONNIE BRAE ST DENTON TX ,33.1837027,-97.1641773,VALID,218.0
32XX HERITAGE TRL DENTON TX ,33.2245502,-97.1661732,VALID,219.0
18XX LE SAGE CT DENTON TX ,33.2520654,-97.1072638,VALID,220.0
2XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,221.0
CORDELL ST DENTON TX ,33.2266141,-97.1471889,VALID,222.0
11XX MALONE ST DENTON TX ,33.2281522,-97.1497076,VALID,223.0
20XX SOUTHRIDGE DR DENTON TX ,33.1855332,-97.1141978,VALID,224.0
88XX BLUE SKY LN DENTON TX ,33.1393284,-97.1140104,VALID,225.0
31XX WIND RIVER LN DENTON TX ,33.1768723,-97.1039668,VALID,226.0
21XX SADAU CT DENTON TX ,33.1889951,-97.1027203,VALID,227.0
12XX MORSE ST DENTON TX ,33.2050266,-97.1104501,VALID,228.0
2XX JOSHUA ST DENTON TX ,33.2175454,-97.0997246,VALID,229.0
28XX N LOCUST ST DENTON TX ,33.256469,-97.1316417,VALID,230.0
4XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,231.0
12XX BENT OAKS CT DENTON TX ,33.1718259,-97.1120835,VALID,232.0
33XX CASA GRANDE DR DENTON TX ,33.173075,-97.1070142,VALID,233.0
12XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,234.0
28XX S MAYHILL RD DENTON TX ,33.1922091,-97.0856294,VALID,235.0
38XX YELLOWSTONE PL DENTON TX ,33.2518053,-97.1199342,VALID,236.0
30XX N ELM ST DENTON TX ,33.2483035,-97.1480169,VALID,237.0
39XX STATE SCHOOL RD DENTON TX ,33.1695164,-97.0906569,VALID,238.0
24XX W PRAIRIE ST DENTON TX ,33.2108511,-97.1550899,VALID,239.0
